id,title,revenue,budget,genres
27205,Inception,825532764,160000000,"Action, Science Fiction, Adventure"
157336,Interstellar,701729206,165000000,"Adventure, Drama, Science Fiction"
155,The Dark Knight,1004558444,185000000,"Drama, Action, Crime, Thriller"
19995,Avatar,2923706026,237000000,"Action, Adventure, Fantasy, Science Fiction"
24428,The Avengers,1518815515,220000000,"Science Fiction, Action, Adventure"
293660,Deadpool,783100000,58000000,"Action, Adventure, Comedy"
299536,Avengers: Infinity War,2052415039,300000000,"Adventure, Action, Science Fiction"
550,Fight Club,100853753,63000000,Drama
118340,Guardians of the Galaxy,772776600,170000000,"Action, Science Fiction, Adventure"
680,Pulp Fiction,213900000,8500000,"Thriller, Crime"
13,Forrest Gump,677387716,55000000,"Comedy, Drama, Romance"
671,Harry Potter and the Philosopher's Stone,976475550,125000000,"Adventure, Fantasy"
1726,Iron Man,585174222,140000000,"Action, Science Fiction, Adventure"
68718,Django Unchained,425368238,100000000,"Drama, Western"
278,The Shawshank Redemption,28341469,25000000,"Drama, Crime"
299534,Avengers: Endgame,2800000000,356000000,"Adventure, Science Fiction, Action"
603,The Matrix,463517383,63000000,"Action, Science Fiction"
597,Titanic,2264162353,200000000,"Drama, Romance"
475557,Joker,1074458282,55000000,"Crime, Thriller, Drama"
120,The Lord of the Rings: The Fellowship of the Ring,871368364,93000000,"Adventure, Fantasy, Action"
122,The Lord of the Rings: The Return of the King,1118888979,94000000,"Adventure, Fantasy, Action"
11324,Shutter Island,294800000,80000000,"Drama, Thriller, Mystery"
106646,The Wolf of Wall Street,392000000,100000000,"Crime, Drama, Comedy"
99861,Avengers: Age of Ultron,1405403694,365000000,"Action, Adventure, Science Fiction"
271110,Captain America: Civil War,1155046416,250000000,"Adventure, Action, Science Fiction"
49026,The Dark Knight Rises,1081041287,250000000,"Action, Crime, Drama, Thriller"
68721,Iron Man 3,1215577205,200000000,"Action, Adventure, Science Fiction"
284054,Black Panther,1349926083,200000000,"Action, Adventure, Science Fiction"
284052,Doctor Strange,676343174,180000000,"Action, Adventure, Fantasy"
76341,Mad Max: Fury Road,378858340,150000000,"Action, Adventure, Science Fiction"
16869,Inglourious Basterds,321457747,70000000,"Drama, Thriller, War"
70160,The Hunger Games,694394724,75000000,"Science Fiction, Adventure, Fantasy"
315635,Spider-Man: Homecoming,880166924,175000000,"Action, Adventure, Science Fiction, Drama"
672,Harry Potter and the Chamber of Secrets,876688482,100000000,"Adventure, Fantasy"
283995,Guardians of the Galaxy Vol. 2,863756051,200000000,"Science Fiction, Adventure, Action"
121,The Lord of the Rings: The Two Towers,926287400,79000000,"Adventure, Fantasy, Action"
1771,Captain America: The First Avenger,370569774,140000000,"Action, Adventure, Science Fiction"
297761,Suicide Squad,746846894,175000000,"Action, Adventure, Fantasy"
673,Harry Potter and the Prisoner of Azkaban,789804554,130000000,"Adventure, Fantasy"
10195,Thor,449326618,150000000,"Adventure, Fantasy, Action"
10138,Iron Man 2,623933331,200000000,"Adventure, Action, Science Fiction"
272,Batman Begins,374218673,150000000,"Action, Crime, Drama"
284053,Thor: Ragnarok,855301806,180000000,"Action, Adventure, Science Fiction"
150540,Inside Out,857611174,175000000,"Animation, Family, Adventure, Drama, Comedy"
135397,Jurassic World,1671537444,150000000,"Action, Adventure, Science Fiction, Thriller"
807,Se7en,327311859,33000000,"Crime, Mystery, Thriller"
674,Harry Potter and the Goblet of Fire,895921036,150000000,"Adventure, Fantasy"
22,Pirates of the Caribbean: The Curse of the Black Pearl,655011224,140000000,"Adventure, Fantasy, Action"
12445,Harry Potter and the Deathly Hallows: Part 2,1341511219,125000000,"Fantasy, Adventure"
11,Star Wars,775398007,11000000,"Adventure, Action, Science Fiction"
